ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
94,8.17441677393445,0.00021153173274427776,3.357095362918771e-11,-0.026120332192453098,8.174415618262568,0.00021153164863880412,-0.02612033195140367,1.9744949926260875e-18,1.2989643846084491e-09,-3.446443981908211e-12
95,8.03833594776624,0.00021234954676408737,3.6266727190514325e-11,-0.026091073827874966,8.038334813630259,0.00021234945781889683,-0.02609107394970518,1.845243477680929e-18,1.234968820018166e-09,-3.3273184949441186e-12
96,7.9059921750856015,0.00021309799529023227,3.928531207599766e-11,-0.0260556213056411,7.905991066227212,0.0002130979019011814,-0.026055621790142987,1.7254767614602908e-18,1.1746232110114312e-09,-3.2134729642528585e-12
97,7.777242669579701,0.000213776652388095,4.259386314635132e-11,-0.026014072533724248,7.777241589529963,0.0002137765550015226,-0.02601407338105413,1.6144304570264665e-18,1.1176920756285379e-09,-3.1045517006809885e-12
98,7.651956371782956,0.00021438473126324866,4.6158548114767776e-11,-0.025966525169580798,7.651955323839289,0.00021438463037248078,-0.025966526380286903,1.5114058877381975e-18,1.0639561656769482e-09,-3.000224495197411e-12
99,7.529989492273316,0.00021492253556310167,4.994480503154215e-11,-0.025913029302257036,7.529988479479071,0.0002149224317045947,-0.02591303087730241,1.4157641999818209e-18,1.013211624590789e-09,-2.900185665354271e-12
100,7.411228622014322,0.0002153918150868403,5.3917598574530795e-11,-0.025853638180338614,7.411227647140973,0.00021539170883599378,-0.025853640121119324,1.3269208576215027e-18,9.652691392702052e-10,-2.8041530678378947e-12
101,7.295551788653395,0.00021579245203366635,5.80416733709662e-11,-0.025788407804952753,7.295550854185427,0.000215792344000342,-0.025788410113311094,1.244340246323516e-18,9.199522326792493e-10,-2.7118645414075183e-12
102,7.1828472741080045,0.0002161199734472869,6.228180256633189e-11,-0.025717529838439418,7.18284638223051,0.0002161198642710705,-0.025717532516672303,1.167531472823049e-18,8.770962235059117e-10,-2.623076068835035e-12
103,7.072999784882571,0.00021638339876793857,6.660303014980704e-11,-0.025640882741286505,7.072998937471576,0.00021638328911318408,-0.025640885792148762,1.0960454196543018e-18,8.365485659479643e-10,-2.5375640035966458e-12
104,6.96590809378844,0.00021657404399586904,7.09709052767688e-11,-0.025558616889150957,6.965907292403959,0.00021657393454656404,-0.025558620315853712,1.0294689139118266e-18,7.981659281742743e-10,-2.455117482042748e-12
105,6.861471339595979,0.0002166965301493446,7.535170726408772e-11,-0.025470751723515244,6.861470585477748,0.0002166964216038396,-0.025470755529719346,9.674233867806757e-19,7.61815464628351e-10,-2.3755432834410818e-12
106,6.759593286451697,0.00021675109463500778,7.971265981881285e-11,-0.025377270025782567,6.759592580517565,0.00021675098770064917,-0.02537727421558714,9.095610773274744e-19,7.273726353022174e-10,-2.2986602048280165e-12
107,6.660182070161622,0.00021674206697065563,8.402213332272324e-11,-0.02527828283468425,6.660181413008516,0.0002167419623583659,-0.025278287412610477,8.555624786588696e-19,6.947213342953872e-10,-2.224300371217384e-12
108,6.563145995812707,0.00021666559854009867,8.824983390018518e-11,-0.02517381946849034,6.5631453877201125,0.00021666549695894464,-0.025173824439460625,8.051339919246026e-19,6.637533308857339e-10,-2.152308430859465e-12
109,6.468409246492285,0.00021652596971457604,9.236697832181815e-11,-0.025063873696119426,6.468408687428127,0.0002165258718663667,-0.02506387906543214,7.580056838179999e-19,6.343672210931961e-10,-2.0825390753251115e-12
110,6.375887667552004,0.00021631957349621888,9.634645378998016e-11,-0.024948559794963368,6.375887157180829,0.00021631948007017315,-0.024948565568263244,7.139286673299577e-19,6.064681186145718e-10,-2.014856824059159e-12
111,6.285505239551712,0.000216050342834845,1.0016296186420541e-10,-0.02482796214552421,6.285504777245042,0.0002160502545023697,-0.0248279683287688,6.726770682849237e-19,5.79968139880886e-10,-1.9491496586192303e-12
112,6.197195227796785,0.00021572086667275364,1.037931458929003e-10,-0.024702094931941018,6.197194812645512,0.00021572078408236888,-0.024702101531363332,6.340520380405773e-19,5.547882521938345e-10,-1.885367227425781e-12
113,6.110890533547219,0.00021532608719736297,1.072157013015889e-10,-0.024571167573259056,6.110890164375883,0.00021532601096981228,-0.024571174595326716,5.978722335382302e-19,5.308549214444252e-10,-1.823472807094363e-12
114,6.026526828856296,0.00021486491375482668,1.1041146853732822e-10,-0.024435237337253043,6.0265265042390945,0.00021486484447840557,-0.024435244788624248,5.639696633420288e-19,5.080992115531347e-10,-1.7634296996651626e-12
115,5.944042418304349,0.0002143433872149085,1.1336350839163943e-10,-0.02429443206964253,5.94404213658271,0.0002143433254410446,-0.02429443995711916,5.321885700787998e-19,4.864561151954981e-10,-1.7052001005786717e-12
116,5.8633815477590465,0.0002137603161663151,1.1605715945442914e-10,-0.02414887529800364,5.863381307060586,0.0002137602624054293,-0.02414888362848185,5.023846590139962e-19,4.658647649444662e-10,-1.6487469114780166e-12
117,5.784487228883993,0.00021311126175328228,1.1848007788511216e-10,-0.023998652605692516,5.784487027142682,0.00021311121647095898,-0.023998661386111154,4.744238457131154e-19,4.4626786429688237e-10,-1.5940327790715456e-12
118,5.707301422261472,0.00021240210772385551,1.206222595550923e-10,-0.023843847883143046,5.707301257238822,0.00021240207133734544,-0.023843857120430332,4.481817724599673e-19,4.2761136102873407e-10,-1.5410198637976355e-12
119,5.631775010195225,0.00021163186409745466,1.2247604489503862e-10,-0.023684608718414244,5.631774879502308,0.00021163183697253297,-0.023684618419433003,4.2354329420388354e-19,4.0984464351804277e-10,-1.489671419662199e-12
120,5.557857495993301,0.000210802870463921,1.2403610680650307e-10,-0.02352101243968852,5.557857397113409,0.00021080285291211857,-0.023521022611180494,4.004010561305081e-19,3.92919912853642e-10,-1.4399503622948816e-12
121,5.48550034529096,0.00020991420091616403,1.252994221804589e-10,-0.0233531349092556,5.485500275602718,0.0002099141931923879,-0.02335314555778509,3.7865551040024575e-19,3.76792155768109e-10,-1.391819915556902e-12
122,5.414653783475961,0.00020896814709126074,1.2626522764262306e-10,-0.02318111274635146,5.414653740276701,0.00020896814939181505,-0.023181123878248878,3.5821420439923e-19,3.6141909430406155e-10,-1.345244142820826e-12
123,5.345276139857688,0.0002079668997358226,1.2693496020794684e-10,-0.023005015921161436,5.3452761203869015,0.00020796691219683995,-0.02300502754246702,3.38990913285092e-19,3.4676066774758227e-10,-1.3001866910609851e-12
124,5.27732422995748,0.00020690954261354177,1.2731218370581447e-10,-0.022824913134595982,5.277324231420153,0.0002069095653098297,-0.022824925251004165,3.2090571110740285e-19,3.327792356363685e-10,-1.2566121496566405e-12
125,5.210753528564208,0.00020580118653777696,1.2740250189685314e-10,-0.022640931098371442,5.210753548153881,0.00020580121948208247,-0.022640943715176297,3.038839868145e-19,3.194393716368351e-10,-1.2144858651209965e-12
126,5.145527079501502,0.00020464082897866717,1.2721345920091587e-10,-0.02245316237911611,5.145527114422856,0.00020464087212135806,-0.022453175501158187,2.878563642205438e-19,3.067074266994927e-10,-1.1737728187334394e-12
127,5.081603474405233,0.00020343331005040718,1.2675443014458612e-10,-0.022261667910062677,5.081603521896064,0.00020343336327956606,-0.022261681541677708,2.7275836726144045e-19,2.945519006131973e-10,-1.1344395325950317e-12
