a,z,n_a,E_tip,rho_de_eff_over_rhoc0,w_eff_ppf
0.0007140151304013403,1399.5305453932199,3.367668114660057e-32,52597.591668612964,2181785257.931614,0.20178307087227654
0.0007306803950529499,1367.5874245025193,4.401511390555445e-32,50456.461992705954,2007769597.1704118,0.19994144279216175
0.0007477346305177588,1336.3728582124963,5.752735085994415e-32,48405.58522672635,1847869234.3601904,0.19809131315478612
0.0007651869154570817,1305.8702297433476,7.518772083753367e-32,46441.04949856768,1700921754.5138829,0.19623311863438175
0.0007830465404301183,1276.0633013086447,9.826966269498846e-32,44559.115732694154,1565861737.5490022,0.19436730402973512
0.0008013230128396887,1246.9362054713113,1.2843754935800747e-31,42756.209935534964,1441712573.98056,0.1924943218657329
0.0008200260619934131,1218.4734366967382,1.6786670100101842e-31,41028.91582698899,1327578977.610897,0.19061463197855733
0.0008391656442830162,1190.6598430985587,2.194002411741635e-31,39373.967802479296,1222640135.4101527,0.18872870108524853
0.0008587519484845171,1163.4806183726866,2.8675410632504524e-31,37788.24421069618,1126143439.9438083,0.18683700233839318
0.0008787954011821319,1136.9212939153151,3.747849913665419e-31,36268.76093283646,1037398754.4186299,0.18494001486705725
0.0008993066723187614,1110.9677311207001,4.898405520805226e-31,34812.66524978736,955773164.7246091,0.1830382233046446
0.000920296680876041,1085.6061138545979,6.4021711645301405e-31,33417.22998431059,880686176.7832004,0.18113211730434386
0.0009417766006869519,1060.8229410993847,8.36757909198242e-31,32079.847905868628,811605321.1045196,0.1792221910441565
0.0009637578663841089,1036.6050197669117,1.0936349257341345e-30,30798.026386287955,748042129.7369863,0.17730894272136766
0.0009862521794868784,1012.9394576752917,1.4293708343091908e-30,29569.382294988092,689548453.7900097,0.17539287403809567
0.0010092715146305707,989.8136566858677,1.8681745927254827e-30,28391.637123011275,635713092.4478337,0.17347448967954437
0.0010328281259410286,967.2153059967085,2.441687087166436e-30,27262.612325572005,586158706.8934374,0.17155429678471523
0.0010569345535579883,945.132375589077,3.191262666160973e-30,26180.224873309897,540538994.8459803,0.1696328044123636
0.0010816036303107094,923.553109823358,4.17095108458446e-30,25142.48300286851,498536103.50222486,0.16771052300236988
0.001106848488549412,902.4660211810534,5.451394877164565e-30,24147.482157847102,459858260.5792171,0.16578796383360372
0.0011326825671361537,881.8598841495151,7.124923189967544e-30,23193.40111157422,424237604.8975328,0.16386563848071023
0.0011591196185988858,861.723729246145,9.312209371510706e-30,22278.498263535974,391428199.5360526,0.16194405826943625
0.0011861737164524779,842.0468371788976,1.2170972383387295e-29,21401.108101660753,361204212.0436458,0.1600237337329038
0.0012138592626906278,822.818733139961,1.5907349464281535e-29,20559.637823011348,333358247.52199215,0.15810517406972235
0.0012421909954526175,804.0291812295981,2.0790760097703342e-29,19752.56410577224,307699821.60820454,0.15618888660509356
0.001271183996869029,785.6681790071582,2.717333308172066e-29,18978.430025737565,284053961.49556434,0.15427537625555487
0.0013008537010905706,767.7259521663735,3.551529753121875e-29,18235.842110812806,262259924.14490867,0.15236514500026033
0.0013312159025043078,750.1929493320968,4.6418168685368383e-29,17523.467527333403,242170021.76601967,0.15045869135785028
0.0013622867641416468,733.0598369757212,6.066812145412343e-29,16840.031392283436,223648545.4955242,0.14855650987154445
0.0013940828262825771,716.317494446562,7.929267924635758e-29,16184.314205762044,206570778.9720466,0.14665909060297122
0.0014266210152607368,699.9570091165625,1.0363480574918127e-28,15555.149398300553,190822094.21712208,0.1447669186357341
0.0014599186524739786,683.9696716357447,1.3544974220509664e-28,14951.420987875477,176297122.87730506,0.1428804735905942
0.0014939934636052578,668.3469712958661,1.7703157284657768e-28,14372.061341693734,162898996.4742912,0.14100022915171917
0.0015288635880587294,653.0805914998259,2.313786447601925e-28,13816.049038048448,150538649.85054675,0.13912665260670565
0.0015645475886160959,638.1624053344005,3.024097701343961e-28,13282.4068237543,139134182.49221027,0.13726020439996023
0.0016010644613183177,623.5844712439618,3.9524680061775454e-28,12770.199662873885,128610272.862978,0.13540133770086027
0.0016384336455779846,609.3390288028621,5.1658394941785275e-28,12278.532872638214,118897641.29587638,0.13355049798796403
0.0016766750345276991,595.4184945842466,6.751704919029163e-28,11806.5503426495,109932557.3676941,0.13170812264850906
0.0017158089856100047,581.8154581230846,8.82441650868444e-28,11353.432833629378,101656388.02634951,0.12987464059585818
0.0017558563314144689,568.5226779712825,1.1533431578040542e-27,10918.396352144095,94015183.05745922,0.12805047190399432
0.0017968383907677192,555.5330778427651,1.5074089469193932e-27,10500.690597897827,86959294.76534216,0.12623602746045504
0.0018387769800823268,542.8397428464801,1.9701696913683908e-27,10099.59748033882,80443029.00800714,0.12443170863775777
0.0018816944249705557,530.4359158053242,2.5749937471972474e-27,9714.429701469291,74424324.96742402,0.12263790698407706
0.0019256135721291987,518.3149936590212,3.3654932502284206e-27,9344.52940188901,68864461.25750381,0.12085500393355164
0.0019705578015017985,506.4705239490471,4.398668862656956e-27,8989.266867236538,63727786.1745168,0.11908337053620244
0.0020165510387247466,494.89620138372163,5.749019928058061e-27,8648.039292318836,58981470.07973222,0.11732336720801118
0.0020636177678638587,483.5858644816496,7.513916406347663e-27,8320.269600342152,54595278.073388025,0.11557534350159426
0.0021117830444482445,472.5334922917116,9.820619943589536e-27,8005.405314772477,50541361.274005525,0.11383963789698259
0.0021610725088083765,461.7332011878693,1.2835460345945812e-26,7702.917481465561,46794065.15882847,0.11211657761267202
0.0022115123997254885,451.17924173707024,1.6775829147108996e-26,7412.299638811796,43329753.55087397,0.11040647843778584
0.0022631295683995297,440.86599563859414,2.1925855091117494e-26,7133.066833743006,40126646.956800476,0.1087096445844129
0.002315951492743152,430.7879727332026,2.865689184486742e-26,6864.754681544253,37164674.06843647,0.10702636856005188
0.0023700062920093278,420.93980808050287,3.7454295250775676e-26,6606.918467506453,34425335.34026017,0.10535693106049848
0.002425322741760353,411.31625910297527,4.8952420950827317e-26,6359.132288543819,31891577.646144677,0.1037016008827436
0.002481930289186255,401.9122027951348,6.39803659607602e-26,6120.988232983887,29547679.102002677,0.10206063485734762
0.002539859068780724,392.72263299634835,8.362175248870063e-26,5892.095596818815,27379143.217253193,0.10043427780027514
0.002599139918382933,383.74265772585056,1.0929286483872567e-25,5672.080134783125,25372601.607870676,0.09882276248400035
0.0026598043955937583,374.9674965785468,1.4284477362836935e-25,5460.5833446966735,23515724.567727238,0.09722630962674361
0.0027218847945751795,366.39247818020743,1.8669681120583228e-25,5257.261783581398,21797138.853494253,0.09564512790039248
0.002785414163241766,358.01303770070723,2.4401102279813013e-25,5061.7864141276805,20206352.091997903,0.0940794139556449
0.0028504263208534346,349.82471442397923,3.189201725644162e-25,4873.841980149796,18733683.2680339,0.09252935246450988
0.002916955876018796,341.8231493733971,4.16825745419958e-25,4693.126409731278,17370198.795632612,0.09099511617984035
